Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Atlético,3,1,1,0,0,3,1
2,Osasuna,3,1,1,0,0,2,0
3,Rayo Vallecano,3,1,1,0,0,2,0
4,Real Madrid,3,1,1,0,0,2,0
5,Real Betis,3,1,1,0,0,2,1
6,Valencia,3,1,1,0,0,2,1
7,Cádiz,3,1,1,0,0,1,0
8,Girona,1,1,0,1,0,1,1
9,Las Palmas,1,1,0,1,0,1,1
10,Mallorca,1,1,0,1,0,1,1
11,Real Sociedad,1,1,0,1,0,1,1
12,Barcelona,1,1,0,1,0,0,0
13,Getafe,1,1,0,1,0,0,0
14,Sevilla,0,1,0,0,1,1,2
15,Villarreal,0,1,0,0,1,1,2
16,Deportivo Alavés,0,1,0,0,1,0,1
17,Granada,0,1,0,0,1,1,3
18,Almería,0,1,0,0,1,0,2
19,Athletic,0,1,0,0,1,0,2
20,Celta,0,1,0,0,1,0,2
