Pos,Equipo,Puntos,Juegos,Ganados,Empatados,Perdidos,Favor,Contra
1,Real Madrid,6,2,2,0,0,5,1
2,Vallecano,6,2,2,0,0,4,0
3,Valencia,6,2,2,0,0,3,1
4,Girona,4,2,1,1,0,4,1
5,Ath Madrid,4,2,1,1,0,3,1
6,Barcelona,4,2,1,1,0,2,0
7,Betis,4,2,1,1,0,2,1
8,Alaves,3,2,1,0,1,4,4
9,Ath Bilbao,3,2,1,0,1,2,2
10,Osasuna,3,2,1,0,1,2,2
11,Villarreal,3,2,1,0,1,2,2
12,Cadiz,3,2,1,0,1,1,2
13,Sociedad,2,2,0,2,0,2,2
14,Las Palmas,1,2,0,1,1,1,2
15,Mallorca,1,2,0,1,1,1,2
16,Celta,1,2,0,1,1,1,3
17,Getafe,1,2,0,1,1,0,3
18,Sevilla,0,2,0,0,2,4,6
19,Almeria,0,2,0,0,2,1,5
20,Granada,0,2,0,0,2,1,5
